시군구,번지,단지명,전용면적,거래금액
서울특별시 마포구 공덕동,371,공덕1삼성래미안,84.94,"148,500"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,84.94,"148,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"160,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,83.42,"152,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"100,000"
서울특별시 마포구 공덕동,10월 30일,솔리스타,14.29,"17,700"
서울특별시 마포구 노고산동,107-36,현대벤처빌,41.96,"30,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,31.57,"24,700"
서울특별시 마포구 노고산동,107-36,현대벤처빌,41.96,"29,500"
서울특별시 마포구 노고산동,107-36,현대벤처빌,27.9,"22,000"
서울특별시 마포구 대흥동,804,마포자이2차,118.56,"205,000"
서울특별시 마포구 대흥동,12-41,서희스타힐스,12.85,"22,000"
서울특별시 마포구 도화동,357,도화동현대,128.26,"148,000"
서울특별시 마포구 도화동,564,마포동원베네스트,83.33,"112,000"
서울특별시 마포구 도화동,559,마포트라팰리스,97.6,"139,500"
서울특별시 마포구 도화동,550,삼성,84.985,"146,500"
서울특별시 마포구 도화동,550,삼성,84.985,"131,500"
서울특별시 마포구 도화동,82,우성,79.97,"119,500"
서울특별시 마포구 도화동,82,우성,128.315,"149,000"
서울특별시 마포구 도화동,555,한화오벨리스크,38.08,"52,900"
서울특별시 마포구 도화동,555,한화오벨리스크,38.88,"52,700"
서울특별시 마포구 도화동,555,한화오벨리스크,75.72,"90,000"
서울특별시 마포구 도화동,555,한화오벨리스크,59,"76,000"
서울특별시 마포구 도화동,555,한화오벨리스크,38.08,"50,500"
서울특별시 마포구 도화동,555,한화오벨리스크,59,"77,800"
서울특별시 마포구 도화동,353,현대홈타운,59.17,"102,500"
서울특별시 마포구 마포동,253,마포쌍용황금아파트,59.9,"93,000"
서울특별시 마포구 망원동,497,대림2,59.99,"88,000"
서울특별시 마포구 망원동,521,마포한강아이파크,84.5533,"143,800"
서울특별시 마포구 망원동,521,마포한강아이파크,84.5533,"135,000"
서울특별시 마포구 망원동,494,삼성화원,89.55,"92,000"
서울특별시 마포구 망원동,468-18,세광,68.88,"48,700"
서울특별시 마포구 망원동,509,휴먼빌,59.955,"80,000"
서울특별시 마포구 망원동,509,휴먼빌,59.943,"78,500"
서울특별시 마포구 망원동,509,휴먼빌,59.955,"78,500"
서울특별시 마포구 상수동,396,두산위브,84.79,"116,100"
서울특별시 마포구 상수동,402,래미안밤섬리베뉴 Ⅰ,59.99,"136,000"
서울특별시 마포구 상수동,402,래미안밤섬리베뉴 Ⅰ,84.99,"165,000"
서울특별시 마포구 상수동,398,래미안밤섬리베뉴 Ⅱ,84.82,"155,000"
서울특별시 마포구 상수동,398,래미안밤섬리베뉴 Ⅱ,59.99,"136,000"
서울특별시 마포구 상암동,1655,상암월드컵파크4단지,84.89,"128,500"
서울특별시 마포구 상암동,1660,상암월드컵파크7단지,84.9,"116,000"
서울특별시 마포구 상암동,1660,상암월드컵파크7단지,84.45,"125,000"
서울특별시 마포구 서교동,487,대우미래사랑,33.8,"27,000"
서울특별시 마포구 서교동,487,대우미래사랑,57.36,"46,000"
서울특별시 마포구 서교동,487,대우미래사랑,68.11,"64,000"
서울특별시 마포구 서교동,487,대우미래사랑,34.29,"27,500"
서울특별시 마포구 서교동,487,대우미래사랑,34.29,"26,850"
서울특별시 마포구 성산동,446,성산시영(대우),50.03,"101,500"
서울특별시 마포구 성산동,446,성산시영(대우),50.03,"100,000"
서울특별시 마포구 성산동,446,성산시영(선경),50.54,"105,000"
서울특별시 마포구 성산동,601,성산월드타운대림,84.549,"96,000"
서울특별시 마포구 성산동,01월 23일,해피존2,82.78,"58,500"
서울특별시 마포구 성산동,254-8,현대하이츠아파트,84.7,"65,000"
서울특별시 마포구 신공덕동,171,kcc웰츠,106.27,"154,000"
서울특별시 마포구 신공덕동,167,대우메트로디오빌,23.63,"32,000"
서울특별시 마포구 신공덕동,159,신공덕래미안2차,59.48,"100,000"
서울특별시 마포구 신공덕동,159,신공덕래미안2차,84.73,"125,000"
서울특별시 마포구 신공덕동,159,신공덕래미안2차,59.48,"101,000"
서울특별시 마포구 신공덕동,161,신공덕래미안3차,59.96,"116,800"
서울특별시 마포구 신공덕동,161,신공덕래미안3차,59.96,"122,000"
서울특별시 마포구 신공덕동,172,펜트라우스,152.85,"197,000"
서울특별시 마포구 신수동,453,대원칸타빌,117.183,"155,000"
서울특별시 마포구 신수동,453,대원칸타빌,143.656,"150,000"
서울특별시 마포구 신수동,456,마포경남아너스빌,84.95,"110,000"
서울특별시 마포구 신수동,459,밤섬경남아너스빌,84.83,"140,000"
서울특별시 마포구 신수동,459,밤섬경남아너스빌,84.9,"132,500"
서울특별시 마포구 신수동,459,밤섬경남아너스빌,84.83,"133,000"
서울특별시 마포구 신수동,459,밤섬경남아너스빌,84.83,"134,500"
서울특별시 마포구 신수동,457,벽산솔렌스힐,84.9619,"114,000"
서울특별시 마포구 신수동,462,신촌숲아이파크,111.024,"235,000"
서울특별시 마포구 신수동,462,신촌숲아이파크,59.751,"148,880"
서울특별시 마포구 신수동,462,신촌숲아이파크,111.024,"232,000"
서울특별시 마포구 신수동,445-5,현대,84.47,"104,250"
서울특별시 마포구 신수동,445-5,현대,84.47,"103,500"
서울특별시 마포구 아현동,777,마포래미안푸르지오1단지,84.8919,"184,500"
서울특별시 마포구 아현동,777,마포래미안푸르지오2단지,59.9796,"149,500"
서울특별시 마포구 아현동,777,마포래미안푸르지오2단지,59.9236,"149,000"
서울특별시 마포구 아현동,777,마포래미안푸르지오3단지,59.9236,"146,300"
서울특별시 마포구 아현동,777,마포래미안푸르지오3단지,84.9603,"190,000"
서울특별시 마포구 아현동,777,마포래미안푸르지오4단지,59.9656,"158,000"
서울특별시 마포구 아현동,780,애오개아이파크,30.01,"53,700"
서울특별시 마포구 아현동,780,애오개아이파크,30.01,"53,500"
서울특별시 마포구 연남동,259-1,대명,59.99,"73,000"
서울특별시 마포구 연남동,573,코오롱,84.936,"94,500"
서울특별시 마포구 연남동,573,코오롱,102.158,"109,250"
서울특별시 마포구 연남동,573,코오롱,150.048,"135,000"
서울특별시 마포구 연남동,573,코오롱,114.88,"119,000"
서울특별시 마포구 염리동,521,마포자이,157.304,"207,000"
서울특별시 마포구 염리동,515-1,상록,58.71,"92,000"
서울특별시 마포구 염리동,520,염리삼성래미안,59.52,"99,000"
서울특별시 마포구 염리동,520,염리삼성래미안,59.52,"114,900"
서울특별시 마포구 용강동,501,대림2차,118.86,"155,000"
서울특별시 마포구 용강동,501,대림2차,84.88,"155,500"
서울특별시 마포구 용강동,380,마포용강삼성래미안,84.2,"158,000"
서울특별시 마포구 중동,392,마포중동현대,59.88,"88,700"
서울특별시 마포구 중동,392,마포중동현대,59.88,"81,000"
서울특별시 마포구 중동,392,마포중동현대,84.9,"100,000"
서울특별시 마포구 중동,392,마포중동현대,84.9,"99,000"
서울특별시 마포구 창전동,449,마포웨스트리버태영데시앙,59.804,"124,700"
서울특별시 마포구 창전동,439,신촌태영데시앙,84.97,"117,900"
서울특별시 마포구 창전동,440,창전동현대홈타운,84.978,"128,000"
서울특별시 마포구 하중동,101,한강밤섬자이,118.28,"190,000"
서울특별시 마포구 합정동,381-16,KCC엠파이어리버,156.13,"135,000"
서울특별시 마포구 합정동,396-8,리버아인,84.36,"66,000"
서울특별시 마포구 합정동,473,마포한강2차푸르지오,83.45,"164,000"
서울특별시 마포구 합정동,466,장미(466-0),83.9,"69,500"
서울특별시 마포구 합정동,474,합정한강아파트,52.62,"69,500"
서울특별시 마포구 현석동,225,래미안 웰스트림,59.96,"130,000"
서울특별시 마포구 현석동,225,래미안 웰스트림,84.9,"166,000"
서울특별시 마포구 현석동,220,밤섬힐스테이트,84.84,"148,000"
